"","Family","species","valid_Apr2016","Phylogeny","other.phylogeny","Realm","time","element","activity.Season.Length","breeding.age..female..months.","field.body.temperature","preferred.body.temperature","Latitude_centroid","Longitude_centroid","npp","mean.annual.temperature","annual.precipitation","biome","insular.endemic","foraging","sub.order","infraorder","log_mass"
"1","Lacertidae","Zootoca_vivipara","yes","Pyron and Burbrink 2014","Arnold et al. 2007, Mendes et al. 2016","Palearctic","Diurnal","air",4.75,23.5,30.5,"32.26375",56.60575623,69.04933699,11.1,-0.59,563.03,"Boreal Forests/Taiga","no","Sit&wait","Sauria","Lacertoidea",1.02403413
"2","Agamidae","Uromastyx_acanthinura","yes","Pyron and Burbrink 2014","Townsend et al. 2004, Schulte and Moreno-Roark 2010","Palearctic","Diurnal","air",NA,54,38,"#DIV/0!",30.26325941,9.995769112,10.41,20.59,125.56,"Deserts & Xeric Shrublands","no",NA,"Sauria","Acrodontia",3.393396273
"3","Lacertidae","Acanthodactylus_longipes","yes","Pyron and Burbrink 2014","Harris and Arnold 2000","Palearctic","Diurnal","air",NA,NA,34.3,"#DIV/0!",23.62975219,9.667295824,10.34,24.06,63.41,"Deserts & Xeric Shrublands","no",NA,"Sauria","Lacertoidea",0.806907315
"4","Lacertidae","Meroles_anchietae","yes","Pyron and Burbrink 2014","Edwards et al. 2013","Afrotropic","Diurnal","air",12,5,31.06666667,"#DIV/0!",-22.33307877,14.48483941,10.47,18.11,73.3,"Deserts & Xeric Shrublands","no","mixed","Sauria","Lacertoidea",0.592810297
"6","Lacertidae","Eremias_strauchi","yes","Rastegar-Pouyani et al. 2015","Rastegar-Pouyani et al. 2012 use it as a sister of velox and say some velox populations look like strauchi; ; Rastegar-Pouyani et al. 2013 use it as a sister of suphani using Cyt B","Palearctic","Diurnal","air",7,10.5,40.3,"#DIV/0!",38.01719572,51.89819761,10.91,11.36,345.02,"Deserts & Xeric Shrublands","no",NA,"Sauria","Lacertoidea",1.073018552
"7","Carphodactylidae","Underwoodisaurus_milii","yes","Pyron and Burbrink 2014","Oliver and Bauer 2011, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",6.5,10.5,18.5,"20",-30.97273843,138.5742328,11.16,17.85,459.01,"Deserts & Xeric Shrublands","no","mixed","Sauria","Gekkota",1.358396988
"9","Scincidae","Eremiascincus_fasciolatus","yes","Pyron and Burbrink 2014","Mecke et al. 2009","Australia","Nocturnal","earth",NA,NA,28.1,"22.8",-24.46321084,136.6101474,10.96,22.49,391.47,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Scincoidea",1.627856651
"10","Scincidae","Eremiascincus_richardsonii","yes","Pyron and Burbrink 2014","Skinner et al. 2013, Rabosky et al. 2014","Australia","Nocturnal","earth",NA,22.5,26.2,"25.95",-25.57014642,131.9334543,10.94,21.85,340.69,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",1.668182215
"12","Gekkonidae","Heteronotia_binoei","yes","Pyron and Burbrink 2014","Pepper et al. 2013","Australia","Nocturnal","air",NA,16.5,31.15,"30",-24.87113438,134.0500998,11.03,21.92,467.91,"Deserts & Xeric Shrublands","no","mixed","Sauria","Gekkota",0.563141386
"14","Diplodactylidae","Oedura_marmorata","yes","Pyron and Burbrink 2014","Oliver et al. 2012, Garcia-Porta and Ord 2013, Oliver et al. 2014","Australia","Nocturnal","air",12,12,25.4,"32.6",-22.66752037,133.2568969,10.97,23.67,440.89,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",1.436537439
"15","Gekkonidae","Gehyra_variegata","yes","Pyron and Burbrink 2014","Sistrom et al. 2013","Australia","Nocturnal","air",12,28,27.7,"33.45",-28.91697231,136.5946229,11,19.33,348.54,"Deserts & Xeric Shrublands","no","mixed","Sauria","Gekkota",0.869324301
"18","Scincidae","Egernia_stokesii","yes","Pyron and Burbrink 2014","Doughty et al. 2011","Australia","Diurnal","air",12,66,32.65,"32.6",-27.2224728,133.5642337,10.82,20.76,259.73,"Deserts & Xeric Shrublands","no",NA,"Sauria","Scincoidea",2.353268245
"19","Agamidae","Pogona_vitticeps","yes","Pyron and Burbrink 2014","Melville et al. 2011, Chen et al. 2012","Australia","Diurnal","air",12,24,34.6,"33.95",-27.30232588,139.9144319,10.83,20.67,278.54,"Deserts & Xeric Shrublands","no","mixed","Sauria","Acrodontia",2.759603727
"20","Scincidae","Tiliqua_occipitalis","yes","Pyron and Burbrink 2014","no","Australia","Diurnal","air",12,NA,33.2,"32.9",-30.2687516,130.6386545,10.96,18.73,293.87,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",2.96412928
"21","Scincidae","Menetia_greyii","yes","Pyron and Burbrink 2014","Smith et al. 2007","Australia","Diurnal","air",NA,8,32.9,"34",-25.31194408,133.1654725,11.02,21.7,436.78,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.048051712
"23","Diplodactylidae","Rhynchoedura_ornata","yes","Pyron and Burbrink 2014","Oliver et al. 2009, Pepper et al. 2006, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,11,30.7,"34",-25.09924125,132.531478,10.92,22.36,341.2,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",0.563709434
"24","Scincidae","Egernia_depressa","yes","Pyron and Burbrink 2014","Doughty et al. 2011","Australia","Diurnal","air",NA,NA,34.015,"34",-24.79852588,121.8793783,10.84,23.08,252.88,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",1.553172148
"25","Diplodactylidae","Diplodactylus_conspicillatus","yes","Pyron and Burbrink 2014","Oliver et al. 2009, Garcia-Porta and Ord 2013, Oliver et al. 2014","Australia","Nocturnal","air",12,10,31,"34.3",-24.00535953,131.5635874,10.9,22.87,358.37,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",0.738076131
"26","Gekkonidae","Gehyra_punctata","yes","Pyron and Burbrink 2014","Oliver et al. 2010","Australia","Nocturnal","air",NA,NA,27.6,"34.6",-25.2350294,118.7926288,10.88,23.01,270.09,"Deserts & Xeric Shrublands","no",NA,"Sauria","Gekkota",0.763453778
"27","Pygopodidae","Lialis_burtonis","yes","Pyron and Burbrink 2014","Gamble et al. 2008, Lee et al. 2009, Garcia-Porta and Ord 2013","Australia","Cathemeral","air",NA,NA,29,"35.09",-25.45808602,134.4080022,11.07,21.23,515.68,"Deserts & Xeric Shrublands","no","mixed","Sauria","Gekkota",1.35713324
"28","Varanidae","Varanus_gouldii","yes","Pyron and Burbrink 2014","Thompson et al. 2008, Collar et al. 2011, Vidal et al. 2012, Welton et al. 2013","Australia","Diurnal","air",NA,NA,31.5,"35.1",-25.47471243,132.5592292,11.03,21.52,459.89,"Deserts & Xeric Shrublands","no","Active","Sauria","Platynota",3.841351987
"30","Scincidae","Ctenotus_atlas","yes","Pyron and Burbrink 2014","Rabosky et al. 2009, Rabosky et al. 2014","Australia","Diurnal","air",NA,NA,35.63,"35.5",-30.09336301,129.5201107,10.92,19.13,248.79,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.929572819
"31","Scincidae","Ctenotus_regius","yes","Pyron and Burbrink 2014","Rabosky et al. 2009, Rabosky et al. 2014","Australia","Diurnal","air",NA,11,36.4,"35.6",-28.44116993,139.5375571,10.77,20.12,243.73,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",1.07170316
"32","Agamidae","Pogona_minor","yes","Pyron and Burbrink 2014","Melville et al. 2008","Australia","Diurnal","air",NA,24,34.035,"35.8",-24.49212991,125.7964921,10.86,22.94,282.62,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",2.239543901
"33","Agamidae","Ctenophorus_nuchalis","yes","Pyron and Burbrink 2014","Doughty et al. 2007","Australia","Diurnal","air",12,10.5,39.75,"36.4",-25.04424992,131.2035421,10.88,22.41,311.75,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.846310554
"34","Varanidae","Varanus_eremius","yes","Pyron and Burbrink 2014","Thompson et al. 2008, Collar et al. 2011, Vidal et al. 2012, Welton et al. 2013","Australia","Diurnal","air",NA,NA,37.94,"36.4",-25.14084824,127.0835886,10.82,22.49,247.92,"Deserts & Xeric Shrublands","no","Active","Sauria","Platynota",2.15681168
"35","Agamidae","Moloch_horridus","yes","Pyron and Burbrink 2014","Hugall et al. 2008, Chen et al. 2012","Australia","Diurnal","air",8,24,32.92,"36.7",-25.1877421,127.1632526,10.87,22.19,274.2,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.792147274
"36","Agamidae","Ctenophorus_reticulatus","yes","Pyron and Burbrink 2014","Doughty et al. 2007, Chen et al. 2012","Australia","Diurnal","air",NA,NA,35.52,"36.9",-27.39235755,123.5716954,10.86,21.16,235.43,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.627780761
"37","Agamidae","Ctenophorus_isolepis","yes","Pyron and Burbrink 2014","Doughty et al. 2007, Chen et al. 2012","Australia","Diurnal","air",NA,7.5,40.45,"37",-23.79249704,128.1215583,10.86,23.25,307.17,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.272737477
"39","Agamidae","Ctenophorus_caudicinctus","yes","Pyron and Burbrink 2014","Melville et al. 2001, Melville and Schlute 2001, Chen et al. 2012","Australia","Diurnal","air",NA,9,34,"37.7",-21.26245673,128.1543222,10.96,24.65,447.53,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.589792774
"40","Agamidae","Ctenophorus_scutulatus","yes","Pyron and Burbrink 2014","Doughty et al. 2007, Chen et al. 2012","Australia","Diurnal","air",NA,NA,38.9,"38.2",-28.32667257,120.2883247,10.94,20.27,250.47,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.712466794
"41","Diplodactylidae","Lucasium_damaeum","yes","Pyron and Burbrink 2014","Pepper et al. 2006, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,5.5,24.15,"#DIV/0!",-29.03975061,137.8693021,10.85,19.68,258.55,"Deserts & Xeric Shrublands","no","mixed","Sauria","Gekkota",0.631808372
"42","Varanidae","Varanus_caudolineatus","yes","Pyron and Burbrink 2014","Vidal et al. 2012","Australia","Diurnal","air",NA,5,37.55,"#DIV/0!",-25.52458424,119.4337106,10.88,22.72,259.1,"Deserts & Xeric Shrublands","no","Active","Sauria","Platynota",1.569660059
"43","Diplodactylidae","Diplodactylus_tessellatus","yes","Pyron and Burbrink 2014","Oliver et al. 2009, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,7.516666667,25,"#DIV/0!",-26.5888819,140.5034983,10.91,21.24,329.75,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",0.586799376
"44","Agamidae","Ctenophorus_fordi","yes","Pyron and Burbrink 2014","Doughty et al. 2007, Chen et al. 2012","Australia","Diurnal","air",NA,8.8,37.05,"#DIV/0!",-31.20501313,134.0206757,10.93,18.36,254.37,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",0.78944392
"45","Scincidae","Lerista_xanthura","yes","Pyron and Burbrink 2014","Skinner and Lee 2010, Lee et al. 2013, Rabosky et al. 2014","Australia","Cathemeral","earth",NA,10.5,27.7,"#DIV/0!",-26.72487238,136.1854224,10.71,21.13,222.6,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.150430572
"46","Agamidae","Tympanocryptis_centralis","yes","Shoo et al. 2008","Chen et al. 2012","Australia","Diurnal","air",NA,10.5,35.1,"#DIV/0!",-23.29297763,133.1665608,10.85,22.96,292.14,"Deserts & Xeric Shrublands","no",NA,"Sauria","Acrodontia",0.717826151
"47","Agamidae","Ctenophorus_maculosus","yes","Pyron and Burbrink 2014","Doughty et al. 2007, Chen et al. 2012","Australia","Diurnal","air",NA,10.5,38.4,"#DIV/0!",-29.69738416,138.2910481,10.5,20.1,176.35,"Deserts & Xeric Shrublands","no",NA,"Sauria","Acrodontia",1.043029414
"48","Diplodactylidae","Lucasium_stenodactylum","yes","Pyron and Burbrink 2014","Oliver et al. 2007, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",12,11,27.14,"#DIV/0!",-22.71257046,130.9874253,10.89,23.83,407.18,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",0.686005213
"49","Carphodactylidae","Nephrurus_laevissimus","yes","Pyron and Burbrink 2014","Oliver and Bauer 2011, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,15,23.75,"#DIV/0!",-26.88783137,126.5359318,10.82,21,225.22,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",1.261
"51","Agamidae","Diporiphora_winneckei","yes","Pyron and Burbrink 2014","Smith et al. 2011, Chen et al. 2012","Australia","Diurnal","air",NA,12,35.31,"#DIV/0!",-24.60568617,128.1617309,10.79,23.02,261.01,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.043029414
"52","Carphodactylidae","Nephrurus_levis","yes","Pyron and Burbrink 2014","Oliver and Bauer 2011, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,30,19.15,"#DIV/0!",-25.32973344,130.7457079,10.83,22.38,273.56,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",1.310858421
"53","Varanidae","Varanus_tristis","yes","Pyron and Burbrink 2014","Thompson et al. 2008, Collar et al. 2011, Vidal et al. 2012, Welton et al. 2013","Australia","Diurnal","air",12,24,34.15,"#DIV/0!",-23.30733395,132.9759975,11,23.07,477.86,"Deserts & Xeric Shrublands","no","mixed","Sauria","Platynota",2.73570998
"54","Scincidae","Liopholis_kintorei","yes","Pyron and Burbrink 2014","Gardner et al. 2008","Australia","Nocturnal","earth",NA,24,25.2,"#DIV/0!",-23.5822803,126.9397592,10.85,23.3,293.37,"Deserts & Xeric Shrublands","no",NA,"Sauria","Scincoidea",2.305025856
"55","Scincidae","Liopholis_inornata","yes","Pyron and Burbrink 2014","Gardner et al. 2008","Australia","Cathemeral","earth",12,36,30.1,"#DIV/0!",-27.68587176,131.5231432,10.85,20.61,250.2,"Deserts & Xeric Shrublands","no","mixed","Sauria","Scincoidea",1.105093711
"56","Diplodactylidae","Strophurus_elderi","yes","Pyron and Burbrink 2014","Brown et al. 2012","Australia","Nocturnal","air",NA,24,27.2,"#DIV/0!",-25.91230352,129.3776919,10.81,21.95,247.25,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",0.389751303
"57","Diplodactylidae","Strophurus_strophurus","yes","Pyron and Burbrink 2014","Brown et al. 2012, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,30,25.3,"#DIV/0!",-25.68641866,120.3705831,10.82,22.67,233.83,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",0.947392896
"58","Diplodactylidae","Strophurus_ciliaris","yes","Pyron and Burbrink 2014","Melville et al. 2004, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,36,26.185,"#DIV/0!",-22.61361096,131.8405651,10.9,23.88,420.24,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",1.170119351
"59","Pygopodidae","Pygopus_nigriceps","yes","Pyron and Burbrink 2014","Gamble et al. 2008, Lee et al. 2009, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",12,NA,24.79,"#DIV/0!",-24.4738255,133.9593818,11.03,22.15,472.56,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",1.19111145
"60","Diplodactylidae","Diplodactylus_granariensis","yes","Pyron and Burbrink 2014","Oliver et al. 2009, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,NA,20.9,"#DIV/0!",-30.14642148,124.0280119,10.99,18.88,293.27,"Deserts & Xeric Shrublands","no",NA,"Sauria","Gekkota",0.873865442
"61","Carphodactylidae","Nephrurus_vertebralis","yes","Pyron and Burbrink 2014","Oliver and Bauer 2011, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,NA,24.1,"#DIV/0!",-26.38902712,121.6032965,10.81,21.92,230.36,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",1.186840378
"62","Diplodactylidae","Diplodactylus_pulcher","yes","Pyron and Burbrink 2014","Oliver et al. 2009, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,NA,27.79,"#DIV/0!",-27.89183787,120.8300275,10.92,20.74,257.97,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Gekkota",0.675341395
"63","Pygopodidae","Delma_nasuta","yes","Pyron and Burbrink 2014","Jennings et al. 2003, Garcia-Porta and Ord 2013","Australia","Cathemeral","air",NA,NA,29.8,"#DIV/0!",-21.94760925,128.37448,10.9,24.42,370.66,"Deserts & Xeric Shrublands","no",NA,"Sauria","Gekkota",0.770477909
"64","Scincidae","Liopholis_striata","yes","Pyron and Burbrink 2014","Gardner et al. 2008","Australia","Cathemeral","earth",NA,NA,30.425,"#DIV/0!",-24.32870466,126.3165107,10.83,22.84,267.32,"Deserts & Xeric Shrublands","no","mixed","Sauria","Scincoidea",1.491924995
"65","Scincidae","Ctenotus_brooksi","yes","Pyron and Burbrink 2014","Rabosky et al. 2007, Rabosky et al. 2014 (also for Ctenotus aranda, and Ctenotus iridis)","Australia","Diurnal","air",NA,NA,30.6,"#DIV/0!",-27.13084963,132.3222934,10.78,21.03,227.08,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.544719909
"66","Scincidae","Lerista_bipes","yes","Pyron and Burbrink 2014","Skinner and Lee 2010, Lee et al. 2013, Rabosky et al. 2014","Australia","Nocturnal","earth",NA,NA,31.2,"#DIV/0!",-22.29140072,127.0764054,10.91,24.11,368.79,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.305230837
"67","Pygopodidae","Delma_butleri","yes","Pyron and Burbrink 2014","Gamble et al. 2008, Lee et al. 2009, Garcia-Porta and Ord 2013","Australia","Cathemeral","air",NA,NA,31.74,"#DIV/0!",-27.38097973,129.2731597,10.89,21.19,274.67,"Deserts & Xeric Shrublands","no","Active","Sauria","Gekkota",0.67869386
"68","Scincidae","Ctenotus_dux","yes","Rabosky et al. 2014","Rabosky et al. 2011","Australia","Diurnal","air",NA,NA,32.225,"#DIV/0!",-25.23713938,129.1370864,10.79,21.93,225.43,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.760047328
"70","Agamidae","Ctenophorus_pictus","yes","Pyron and Burbrink 2014","Doughty et al. 2007, Chen et al. 2012","Australia","Diurnal","air",NA,NA,33.385,"#DIV/0!",-29.67315136,136.4061829,10.87,19.07,259.07,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.134266044
"75","Scincidae","Ctenotus_pantherinus","yes","Pyron and Burbrink 2014","Rabosky et al. 2007","Australia","Cathemeral","air",NA,NA,33.61,"#DIV/0!",-23.87134385,131.1195775,10.91,23.04,369.45,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",1.65709649
"76","Scincidae","Ctenotus_schomburgkii","yes","Pyron and Burbrink 2014","Rabosky et al. 2007, Rabosky et al. 2014","Australia","Diurnal","air",NA,NA,33.35,"#DIV/0!",-27.06320514,128.6979557,10.85,21.19,251.85,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.544719909
"77","Scincidae","Morethia_butleri","yes","Pyron and Burbrink 2014","no","Australia","Diurnal","air",NA,NA,33.6,"#DIV/0!",-29.2629005,123.7282566,10.92,19.48,243.51,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.544719909
"79","Scincidae","Ctenotus_grandis","yes","Rabosky et al. 2014","no","Australia","Diurnal","air",NA,NA,34.755,"#DIV/0!",-23.42376876,124.3516338,10.85,23.76,286.26,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",1.611855893
"80","Scincidae","Ctenotus_piankai","yes","Pyron and Burbrink 2014","Rabosky et al. 2007, Rabosky et al. 2014","Australia","Diurnal","air",NA,NA,36.105,"#DIV/0!",-22.19520994,127.8584261,10.91,23.97,360.06,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.616650387
"82","Agamidae","Tympanocryptis_lineata","yes","Pyron and Burbrink 2014","Melville et al. 2008, Hugall et al. 2008, Shoo et al. 2008, Chen et al. 2012","Australia","Diurnal","air",NA,NA,36.4,"#DIV/0!",-26.38523281,135.8802577,10.96,20.94,364.31,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.081017401
"83","Scincidae","Ctenotus_calurus","yes","Pyron and Burbrink 2014","Rabosky et al. 2007, Rabosky et al. 2014","Australia","Diurnal","earth",NA,NA,36,"#DIV/0!",-24.31704391,125.9552196,10.82,22.99,258.01,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.360974144
"84","Scincidae","Ctenotus_quattuordecimlineatus","yes","Rabosky et al. 2014","no","Australia","Diurnal","air",NA,NA,35.885,"#DIV/0!",-23.39878593,127.9784723,10.81,23.57,261.56,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.852713208
"85","Scincidae","Ctenotus_ariadnae","yes","Rabosky et al. 2014","Rabosky et al. 2011","Australia","Diurnal","air",NA,NA,36.05,"#DIV/0!",-24.55490781,129.2121193,10.78,22.48,232.29,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.714367357
"86","Scincidae","Ctenotus_colletti","yes","Rabosky et al. 2014","no","Australia","Diurnal","air",NA,NA,36.25,"#DIV/0!",-24.34731716,125.2529057,10.81,23.15,254.02,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.213223207
"87","Varanidae","Varanus_giganteus","yes","Pyron and Burbrink 2014","Thompson et al. 2008, Collar et al. 2011, Vidal et al. 2012, Welton et al. 2013","Australia","Diurnal","air",NA,NA,37.15,"#DIV/0!",-24.87610292,128.2532196,10.79,22.74,244.39,"Deserts & Xeric Shrublands","no","Active","Sauria","Platynota",4.331935863
"88","Agamidae","Ctenophorus_clayi","yes","Pyron and Burbrink 2014","Doughty et al. 2007, Chen et al. 2012","Australia","Diurnal","air",NA,NA,36.7,"#DIV/0!",-25.4128135,125.0930427,10.81,22.52,237.65,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",0.78944392
"89","Agamidae","Diporiphora_amphiboluroides","yes","Pyron and Burbrink 2014","Couper et al. 2012","Australia","Diurnal","air",NA,NA,36.6,"#DIV/0!",-27.42532675,121.2527983,10.83,21.09,217.28,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Acrodontia",1.510447279
"90","Diplodactylidae","Diplodactylus_galeatus","yes","Pyron and Burbrink 2014","Oliver et al. 2009, Garcia-Porta and Ord 2013","Australia","Nocturnal","air",NA,NA,36.7,"#DIV/0!",-25.53084899,134.620936,10.75,21.41,217.64,"Deserts & Xeric Shrublands","no",NA,"Sauria","Gekkota",0.631808372
"91","Agamidae","Ctenophorus_vadnappa","yes","Pyron and Burbrink 2014","Hugall et al. 2008, Chen et al. 2012","Australia","Diurnal","air",NA,NA,37.2,"#DIV/0!",-31.15076753,139.0816185,10.78,18.09,242.77,"Deserts & Xeric Shrublands","no",NA,"Sauria","Acrodontia",1.381922992
"92","Varanidae","Varanus_gilleni","yes","Pyron and Burbrink 2014","Vidal et al. 2012, Welton et al. 2013","Australia","Diurnal","air",NA,NA,37.4,"#DIV/0!",-24.66674517,130.7640959,10.79,22.6,253.43,"Deserts & Xeric Shrublands","no","Active","Sauria","Platynota",2.100038596
"93","Scincidae","Ctenotus_leonhardii","yes","Rabosky et al. 2014","no","Australia","Diurnal","air",NA,NA,38.03,"#DIV/0!",-25.32330972,132.6926321,10.85,22.28,295.83,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",1.002437878
"94","Scincidae","Ctenotus_leae","yes","Rabosky et al. 2014","no","Australia","Diurnal","air",NA,NA,37.85,"#DIV/0!",-28.31018918,134.4668108,10.71,20.02,191.76,"Deserts & Xeric Shrublands","no","Active","Sauria","Scincoidea",0.662632765
"97","Tropiduridae","Tropidurus_hygomi","yes","Pyron and Burbrink 2014","Frost et al. 2001","Neotropic","Diurnal","air",NA,NA,35.4,"33.47",-11.30976519,-38.45083091,11.67,23.56,971.91,"Deserts & Xeric Shrublands","no",NA,"Sauria","Pleurodonta",1.290501675
"98","Tropiduridae","Tropidurus_psammonastes","yes","Pyron and Burbrink 2014","Frost et al. 2001","Neotropic","Diurnal","air",NA,NA,37.55,"34.48",-10.7877582,-42.82305581,11.74,24.29,738.6,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.542847542
"100","Tropiduridae","Eurolophosaurus_divaricatus","yes","Pyron and Burbrink 2014","Passoni et al. 2008","Neotropic","Diurnal","air",NA,NA,38,"36.24",-11.0877325,-43.14152122,11.77,24.29,778.55,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.455539103
"106","Scincidae","Brasiliscincus_heathi","yes","Pyron and Burbrink 2014","Hedges and Conn 2012","Neotropic","Diurnal","air",NA,4,34.6,"#DIV/0!",-10.35693167,-42.44133345,11.76,24.26,1034.08,"Deserts & Xeric Shrublands","no","mixed","Sauria","Scincoidea",1.216070894
"107","Phyllodactylidae","Gymnodactylus_geckoides","yes","Domingos et al. 2014","Pellegrino et al. 2005","Neotropic","Cathemeral","air",12,NA,31.85,"#DIV/0!",-8.143264529,-39.33119712,11.66,24.17,624.23,"Deserts & Xeric Shrublands","no","mixed","Sauria","Gekkota",0.636372676
"108","Phyllodactylidae","Phyllopezus_periosus","yes","Pyron and Burbrink 2014","Gamble et al. 2012","Neotropic","Nocturnal","air",NA,NA,29.4,"#DIV/0!",-8.128220187,-36.76608202,11.64,23.74,841.06,"Deserts & Xeric Shrublands","no",NA,"Sauria","Gekkota",1.706632867
"110","Gekkonidae","Lygodactylus_klugei","yes","Pyron and Burbrink 2014","Gamble et al. 2011","Neotropic","Diurnal","air",NA,NA,34,"#DIV/0!",-10.88297974,-42.09116334,11.68,23.94,719.93,"Deserts & Xeric Shrublands","no","mixed","Sauria","Gekkota",-0.01358671
"112","Tropiduridae","Tropidurus_semitaeniatus","yes","Werneck et al. 2015","Frost et al. 2001, Mato et al. 2015","Neotropic","Diurnal","air",NA,NA,37.1,"#DIV/0!",-9.250617663,-40.3824154,11.72,24.39,864.38,"Deserts & Xeric Shrublands","no","Sit&wait","Sauria","Pleurodonta",1.554
"113","Sphaerodactylidae","Sphaerodactylus_sputator","yes","Pyron and Burbrink 2014","no","Neotropic","Cathemeral","air",NA,NA,28.1,"#DIV/0!",17.93172009,-63.02026971,10.88,26.46,1117.91,"Deserts & Xeric Shrublands","yes",NA,"Sauria","Gekkota",0.200118174
"114","Dactyloidae","Anolis_gingivinus","yes","Pyron and Burbrink 2014","Nicholson et al. 2005","Neotropic","Diurnal","air",NA,NA,29.6,"#DIV/0!",17.75750312,-63.12078275,11.1,26.6,1009.2,"Deserts & Xeric Shrublands","yes",NA,"Sauria","Pleurodonta",0.890272205
"117","Tropiduridae","Microlophus_heterolepis","yes","Pyron and Burbrink 2014","Benavides et al. 2007, Pyron and Burbrink 2014","Neotropic",NA,"air",NA,NA,32.4,"#DIV/0!",-9.328676563,-77.68221459,11.05,16.64,133.67,"Deserts & Xeric Shrublands","no",NA,"Sauria","Pleurodonta",1.863811975
"118","Tropiduridae","Microlophus_quadrivittatus","yes","Pyron and Burbrink 2014","Benavides et al. 2007","Neotropic","Diurnal","air",NA,NA,35,"#DIV/0!",-20.7676719,-69.84244185,10.39,17.02,4.1,"Deserts & Xeric Shrublands","no",NA,"Sauria","Pleurodonta",1.815134267
